episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
299,143520,-5876.2113,0.2338,-0.0165,0.1545,0.0,436.4
300,144000,-25507.1186,0.099,-0.2081,0.0942,0.0,436.4
301,144480,-4336.5001,0.1047,-0.2002,0.0947,0.0,436.5
302,144960,-12330.7879,0.17,-0.1193,0.1392,0.0,436.6
303,145440,-2160.9108,0.104,-0.205,0.0973,0.0,436.7
304,145920,-11886.5099,0.2011,-0.0635,0.1482,0.0,436.8
305,146400,-7441.1944,0.2697,0.0144,0.1684,0.0,436.9
306,146880,-9200.5847,0.2096,-0.0629,0.1382,0.0,437.0
307,147360,-10097.3036,0.1069,-0.1973,0.1021,0.0,437.1
308,147840,-11222.9487,0.21,-0.0641,0.1408,0.0,448.5
309,148320,-15880.6313,0.1772,-0.1034,0.1369,0.0,448.6
310,148800,-8182.4295,0.2366,-0.0298,0.1503,0.0,448.7
311,149280,-9617.485,0.2203,-0.0361,0.1524,0.0,448.8
312,149760,-6189.6541,0.1798,-0.1073,0.1328,0.0,448.8
313,150240,-3125.1842,0.1053,-0.2032,0.0991,0.0,448.9
314,150720,-6645.1195,0.2049,-0.0619,0.1465,0.0,449.0
315,151200,-9332.3471,0.171,-0.1126,0.1361,0.0,449.1
316,151680,-12008.526,0.1882,-0.0874,0.1368,0.0,460.4
317,152160,-11537.038,0.0941,-0.2012,0.099,0.0,460.5
318,152640,-7382.2713,0.1003,-0.1929,0.1048,0.0,460.6
319,153120,-12463.2451,0.2312,-0.0358,0.1587,0.0,460.7
320,153600,-10730.3396,0.1085,-0.2003,0.1069,0.0,460.8
321,154080,-2173.7116,0.1041,-0.1992,0.0901,0.0,460.9
322,154560,-3489.5762,0.2214,-0.0587,0.1491,0.0,461.0
323,155040,-7481.3086,0.2547,-0.0074,0.1634,0.0,461.1
324,155520,-6333.6998,0.2012,-0.0586,0.1455,0.0,461.2
325,156000,-11605.0839,0.0962,-0.2101,0.0977,0.0,472.9
326,156480,-5406.7094,0.1891,-0.077,0.1311,0.0,472.9
327,156960,-6668.5667,0.1026,-0.2068,0.107,0.0,473.0
328,157440,-10170.5621,0.1975,-0.0763,0.1391,0.0,473.2
329,157920,-4756.8766,0.2167,-0.0449,0.1551,0.0,473.3
330,158400,-8888.5706,0.2247,-0.0541,0.1532,0.0,473.3
331,158880,-8343.9587,0.1067,-0.2047,0.1031,0.0,473.4
332,159360,-8787.642,0.2142,-0.0545,0.1518,0.0,473.6
333,159840,-4376.5165,0.0906,-0.1975,0.0966,0.0,483.7
334,160320,-9205.7993,0.1888,-0.0748,0.1374,0.0,483.9
335,160800,-16751.5137,0.2318,-0.0248,0.1568,0.0,484.0
336,161280,-7470.4657,0.2056,-0.0874,0.1446,0.0,484.0
337,161760,-16009.6447,0.1936,-0.0774,0.1448,0.0,484.1
338,162240,-20218.3611,0.2616,0.0095,0.1709,0.0,484.2
339,162720,-4184.7635,0.2238,-0.0321,0.1525,0.0,484.3
340,163200,-12450.6086,0.2118,-0.0462,0.1435,0.0,484.4
341,163680,-12383.7292,0.246,-0.0185,0.1627,0.0,484.5
342,164160,-11403.6522,0.1092,-0.1975,0.0922,0.0,496.0
343,164640,-5971.8459,0.2261,-0.0509,0.149,0.0,496.1
344,165120,-7894.8284,0.1081,-0.2043,0.102,0.0,496.2
345,165600,-9512.1787,0.0996,-0.2035,0.0995,0.0,496.3
346,166080,-18862.193,0.2057,-0.0815,0.1494,0.0,496.4
347,166560,-9356.9911,0.2362,-0.0107,0.1627,0.0,496.4
348,167040,-9586.9336,0.1035,-0.1999,0.1039,0.0,496.5
349,167520,-6749.1506,0.2258,-0.0402,0.151,0.0,496.6
350,168000,-10067.0557,0.0953,-0.1984,0.0946,0.0,507.2
351,168480,-9167.2391,0.1741,-0.1073,0.1253,0.0,507.3
352,168960,-9055.6656,0.203,-0.0699,0.1415,0.0,507.4
353,169440,-13806.0338,0.231,-0.0451,0.1568,0.0,507.5
354,169920,-14244.2337,0.204,-0.0583,0.1441,0.0,507.6
355,170400,-12492.0096,0.1774,-0.0926,0.1336,0.0,507.7
356,170880,-6819.7483,0.2231,-0.0401,0.1544,0.0,507.8
357,171360,-5385.7672,0.1959,-0.0835,0.1333,0.0,507.9
358,171840,-10988.3927,0.0971,-0.1972,0.1018,0.0,508.0
359,172320,-15040.4081,0.1777,-0.115,0.1339,0.0,518.4
360,172800,-11747.1717,0.2723,0.0152,0.1626,0.0,518.5
361,173280,-16036.9069,0.1007,-0.2027,0.0967,0.0,518.6
362,173760,-10505.5872,0.2095,-0.0522,0.1455,0.0,518.7
363,174240,-8478.8922,0.1982,-0.0561,0.1405,0.0,518.8
364,174720,-6413.4172,0.1683,-0.1173,0.1294,0.0,518.9
365,175200,-15478.4848,0.245,-0.0088,0.1595,0.0,519.0
366,175680,-2478.428,0.1612,-0.1238,0.1262,0.0,519.1
367,176160,-9961.6255,0.2197,-0.0464,0.152,0.0,530.3
368,176640,-13871.9284,0.0945,-0.2034,0.0994,0.0,530.4
369,177120,-11820.3693,0.0978,-0.204,0.0963,0.0,530.5
370,177600,-6736.839,0.2158,-0.0501,0.1439,0.0,530.6
371,178080,-13973.5108,0.1612,-0.1284,0.1329,0.0,530.6
372,178560,-8829.9042,0.2041,-0.0744,0.1451,0.0,530.7
373,179040,-11565.3311,0.2476,-0.0136,0.1655,0.0,530.8
